,country,imdb_rating,imdb_votes,language,production,released_on_weekend,released_on_dump_month,runtime,year,budget,revenue,actor_popularity,director_popularity,action,adventure,animation,biography,comedy,crime,drama,family,fantasy,mystery,romance,thriller,other_genre,G,NC-17,PG,PG-13,R,TV-14,TV-MA,TV-PG,UNRATED
112,1,7.6,12.950217076661023,1,206,1,0,162,2009,18.683045008419857,19.03726531219288,15.977653,6.977275,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
113,1,6.0,12.121728617092275,2,163,1,0,119,2011,18.909260758771037,18.97928073042184,12.960167,7.120710000000001,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
114,1,6.5,10.341032554107704,1,57,1,0,132,2006,15.250595083253597,17.475545917122556,5.999629,1.005291,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
115,1,6.8,11.705502586556785,1,206,1,0,99,2006,17.50439001207821,18.55896429839825,35.239883,1.124893,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
116,1,6.0,10.29644138670722,1,57,1,0,96,2008,17.4264284706085,18.42144387269554,22.199214,1.0650805,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,3,5.9,11.138886346861916,1,210,1,0,108,2007,17.216707939626428,16.644649967749114,19.082165,1.000291,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
118,2,7.0,12.309247273876112,2,163,1,0,120,2008,18.258161814454592,18.893106830427868,13.077211,2.310984,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
119,2,4.8,10.070314688371434,2,701,1,0,92,2010,17.216707939626428,13.781953774435431,9.303535,1.6292010000000001,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,3,6.7,9.270870871716214,5,701,1,1,133,2008,16.811242831518264,16.396052410488497,7.159986,1.028791,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
121,1,5.4,11.710094582512202,1,163,1,0,96,2007,18.980296531887788,18.968802152462054,23.734609000000006,1.0085110000000002,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
122,1,6.1,12.349402129697276,1,701,1,0,93,2007,18.890684373198102,20.49881914316076,20.84454,1.905673,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,1,6.2,12.944530133049703,2,210,1,0,139,2007,19.36847014288589,20.60771089649136,20.944919,3.5474309999999996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
124,3,6.3,10.323052785023075,1,127,1,1,97,2006,18.258161814454592,18.785323857540273,18.879135,1.009488,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
125,4,6.9,10.971125036904807,3,163,1,0,114,2007,17.822843743196746,18.122780819933606,23.992576,1.000143,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
126,3,5.6,10.033726029459856,1,127,1,1,90,2006,17.7473361906886,18.10293801001542,14.891444,2.2752310000000002,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127,3,5.8,11.617240434234867,1,27,1,1,93,2006,17.034386382832476,18.583812328738556,10.951763,1.76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
128,2,7.3,12.22740841069514,2,206,0,0,96,2006,17.37085861945369,16.543682943142095,23.118327,3.076522,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
129,1,6.6,11.852841763993997,2,210,1,1,108,2006,18.099097119824904,18.90905323417181,18.58164,1.3345870000000002,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
130,3,7.3,10.589811507747948,2,701,1,0,126,2007,16.70588231586044,17.09369286569711,6.559203,3.729478,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,1,7.3,9.961331842220567,1,57,1,0,114,2008,16.213405830762646,17.455866431122317,17.665882000000003,1.3517649999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
